Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mini-skin-markers-non-sterile,MINI SKIN MARKERS Non-Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,0.85,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
true-rinse-cups,TRUE RINSE CUPS,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
polyethylene-aprons-28-x-46-white-100-box,POLYETHYLENE APRONS 28” x 46” • White • 100/box,,Kingpin Supply,Medical Supplies and Sterilization Equipment,White,TRUE,Title,Default Title,,,,,,,,,deny,manual,9.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
black-disposable-aprons-28-x-46-black-cloth-coated,BLACK DISPOSABLE APRONS 28” x 46” • Black • Cloth coated,,Kingpin Supply,Medical Supplies and Sterilization Equipment,Black,TRUE,Title,Default Title,,,,,,,,,deny,manual,11.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-markers,SURGICAL MARKERS,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,1,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
ammonia-inhalant,AMMONIA INHALANT,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
poly-arm-sleeves-blue-100-box,POLY ARM SLEEVES Blue 100/box,,Kingpin Supply,Medical Supplies and Sterilization Equipment,Blue,TRUE,Title,Default Title,,,,,,,,,deny,manual,7,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
deluxe-poly-arm-sleeves-white-impervious-200-box,DELUXE POLY ARM SLEEVES White / Impervious 200/box,,Kingpin Supply,Medical Supplies and Sterilization Equipment,White,TRUE,Title,Default Title,,,,,,,,,deny,manual,45,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
face-masks-w-shield,Face Masks w/ Shield,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,15,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
exam-table-paper,EXAM TABLE PAPER,,Kingpin Supply,Tattoo Shop Furniture and Supplies,,TRUE,Title,Default Title,,,,,,,,,deny,manual,5.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
absorbent-blue-pads,ABSORBENT BLUE PADS,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,40,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
dri-loc-pads-5-x-6-black,DRI LOC PADS 5” x 6” Black,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,72,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
dri-loc-pads-4-x-6-white,DRI LOC PADS 4” x 6” White,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,60,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
dri-loc-pads-4-x-6-black,DRI LOC PADS 4” x 6” Black,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,60,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
drape-sheets-40-x-60,DRAPE SHEETS 40” x 60”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,42,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
drape-sheets-40-x-90,DRAPE SHEETS 40” x 90,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,28.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
drape-sheets-sterile-white-18-x-26-latex-free,DRAPE SHEETS Sterile White • 18” x 26” • Latex free,,Kingpin Supply,Medical Supplies and Sterilization Equipment,White,TRUE,Title,Default Title,,,,,,,,,deny,manual,15,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
tergazyme-ultrasonic-cleaner,TERGAZYME ULTRASONIC CLEANER,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,30,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
crosstex-crosszyme,CROSSTEX CROSSZYME,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,29.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
speed-clean-autoclave-cleaner,SPEED-CLEAN AUTOCLAVE CLEANER,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,15.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
clean-simple,CLEAN & SIMPLE,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,50,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
chamber-brite,CHAMBER BRITE,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,52,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
weiman-instrument-lubricant,WEIMAN INSTRUMENT LUBRICANT,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,21.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
sporox-ii,SPOROX II,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,40.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
miltex-stain-remover,MILTEX STAIN REMOVER,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,9.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
instrument-cleaning-brushes-stainless-bristles,INSTRUMENT CLEANING BRUSHES Stainless Bristles,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
instrument-cleaning-brushes-nylon-bristles,INSTRUMENT CLEANING BRUSHES Nylon Bristles,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cavicide-1-gallon,CAVICIDE 1 gallon,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,26.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cavicide-1-wipes,CAVICIDE 1 wipes,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
microcide-sq,MICROCIDE SQ,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,22,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
microcide-sq-empty-32oz-spray-bottle,MICROCIDE SQ Empty 32oz spray bottle,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
micro-cide-28,MICRO-CIDE 28,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,21,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
benz-all,BENZ-ALL,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
protective-eyeglasses,PROTECTIVE EYEGLASSES,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
disposable-nail-brush,DISPOSABLE NAIL BRUSH,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,0.75,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
tube-cleaning-brush,TUBE CLEANING BRUSH,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
disposable-tip-cleaning-brush,DISPOSABLE TIP CLEANING BRUSH,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,22.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
madacide-fd-gallon,MADACIDE FD Gallon,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,26.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
madacide-fd-gallon-quart,MADACIDE FD Gallon Quart,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,11.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
lysol-brand-iii-i-c-disinfectant-spray,LYSOL BRAND III I.C. DISINFECTANT SPRAY,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,11.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
sani-cloth-af3-clear-blue-top,SANI-CLOTH AF3 “CLEAR BLUE TOP”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,9.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
sani-cloth-super-sani-cloth-purple-top,SANI-CLOTH SUPER SANI-CLOTH “PURPLE TOP”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,9.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
sani-cloth-sani-hands-alc,SANI-CLOTH SANI-HANDS ALC,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,7.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
opti-cide-3-max-6-x-6-160-tub,OPTI-CIDE 3 MAX 6” x 6” 160/tub,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
opti-cide-3-max-9-x-12-65-tub,OPTI-CIDE 3 MAX 9” x 12” 65/tub,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
opti-cide-3-max-24oz-spray-bottle,OPTI-CIDE 3 MAX 24oz Spray Bottle,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,9.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
opti-cide-3-max-1-gallon,OPTI-CIDE 3 MAX 1 Gallon,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,24.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
witch-hazel,WITCH HAZEL,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
benzalkonium-chloride-towelettes,BENZALKONIUM CHLORIDE TOWELETTES,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
sterile-saline-wipes,STERILE SALINE WIPES,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
prep-pads-alcohol,PREP PADS Alcohol,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.75,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
prep-pads-large-alcohol,PREP PADS Large Alcohol,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
prep-pads-povidone-iodine,PREP PADS Povidone Iodine,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,5.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
chlorascrub-prep-pad,CHLORASCRUB PREP PAD,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,18.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
swab-sticks-alcohol,SWAB STICKS Alcohol,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,7.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
swab-sticks-povidone-iodine,SWAB STICKS Povidone Iodine,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,8.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
vionex-antimicrobial-soap-18oz,VIONEX ANTIMICROBIAL SOAP 18oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
vionex-antimicrobial-soap-gallon,VIONEX ANTIMICROBIAL SOAP Gallon,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,37.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
intenze-tattoo-cleanze,INTENZE TATTOO CLEANZE,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,16.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
green-soap-gallon,GREEN SOAP gallon,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,14.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
green-soap-pint,GREEN SOAP pint,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
opti-scrub-gallon-gallon,OPTI-SCRUB Gallon Gallon,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,28.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
opti-scrub-2oz-bottle,OPTI-SCRUB 2oz Bottle,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
opti-scrub-18oz-pump,OPTI-SCRUB 18oz Pump,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,9.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
med-tatt-tattoo-wipes,MED TATT TATTOO WIPES,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
medtatt-antimicrobial-skin-cleanser-8oz,MEDTATT ANTIMICROBIAL SKIN CLEANSER 8oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,7.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
medtatt-antimicrobial-skin-cleanser-16oz,MEDTATT ANTIMICROBIAL SKIN CLEANSER 16oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,13,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
fade-the-itch,FADE THE ITCH,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
a-d-ointment-13oz-jar,A & D OINTMENT 13oz jar,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
a-d-ointment-2oz-tube,A & D OINTMENT 2oz tube,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
a-d-ointment-4oz-tube,A & D OINTMENT 4oz tube,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
a-d-ointment-foil-packs,A & D OINTMENT Foil packs,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,11.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
tac-spf-tattoo-lotion,TAC- SPF TATTOO LOTION,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,19.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
wound-wash-piercing-aftercare-6oz,WOUND WASH PIERCING AFTERCARE 6oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,8.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
aquaphor,AQUAPHOR,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,39,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
bacitracin-ointment-1-gram-pack,BACITRACIN OINTMENT 1 gram pack,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,13.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
bacitracin-ointment-1-2oz-tube,BACITRACIN OINTMENT 1/2oz tube,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
bacitracin-ointment-1oz-tube,BACITRACIN OINTMENT 1oz tube,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
sterile-lubricating-jelly,STERILE LUBRICATING JELLY,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
sterile-lubricating-jelly-4oz-tube,STERILE LUBRICATING JELLY 4oz tube,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
petroleum-jelly-13oz-jar,PETROLEUM JELLY 13oz jar,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
petroleum-jelly-5-gram-packs,PETROLEUM JELLY 5 gram packs,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,11.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
lubriderm-lotion,LUBRIDERM LOTION,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
lubriderm-lotion-12-1oz-bottles,LUBRIDERM LOTION 12 - 1oz bottles,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,17.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
tattoo-anesthetic-cream,TATTOO ANESTHETIC CREAM,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,49.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
vasocaine,VASOCAINE,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,42,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
bactine-squeeze-bottle-4oz,Bactine Squeeze bottle 4oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,5.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
bactine-5oz-spray-bottle,Bactine 5oz Spray bottle,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,7.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
bluegel,BLUEGEL,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,40,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
proplus,PROPLUS,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,37.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
super-t,SUPER T,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,37.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
hush-anesthetic-2oz-gel,HUSH ANESTHETIC 2oz Gel,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,25.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
hush-anesthetic-4oz-ge,HUSH ANESTHETIC 4oz Ge,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,45.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
hush-anesthetic-1-7oz-foam,HUSH ANESTHETIC 1.7oz Foam,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,14.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
hush-anesthetic-2oz-spray,HUSH ANESTHETIC 2oz Spray,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,25.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
hush-anesthetic-4oz-spray,HUSH ANESTHETIC 4oz Spray,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,45.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
dettol,DETTOL,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
derma-numb-1oz-spray-bottle,DERMA NUMB 1oz Spray bottle,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,11.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
derma-numb-4oz-spray-bottle,DERMA NUMB 4oz Spray bottle,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,26,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-sterilization-pouches-2-1-4-x-2-3-4,ADENNA STERILIZATION POUCHES 2 1/4” x 2 3/4”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,6.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
