Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
assorted-colored-lap-cloths-18-x-13-2-ply-tissue-1-ply-poly-500-case,ASSORTED COLORED LAP CLOTHS 18” x 13” • 2 Ply tissue • 1 Ply poly 500/case,,Kingpin Supply,Medical Supplies and Sterilization Equipment,Green,TRUE,Title,Default Title,,,,,,,,,deny,manual,22.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
black-lap-cloths18-x-13-2-ply-tissue-1-ply-poly-500-case,BLACK LAP CLOTHS18” x 13” • 2 Ply tissue • 1 Ply poly 500/case,,Kingpin Supply,Medical Supplies and Sterilization Equipment,Black,TRUE,Title,Default Title,,,,,,,,,deny,manual,27,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
tergazyme-ultrasonic-cleaner,TERGAZYME ULTRASONIC CLEANER,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,30,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
disposable-pillow-cases-economy-100-case,DISPOSABLE PILLOW caseS Economy 100/case,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
disposable-pillow-cases-deluxe-100-case,DISPOSABLE PILLOW caseS Deluxe 100/case,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,40,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
drape-sheets-2-ply-tissue-1-ply-poly-blue-100-case-40-x-48,DRAPE SHEETS 2 ply tissue • 1 ply poly • Blue • 100/case 40” x 48”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,Blue,TRUE,Title,Default Title,,,,,,,,,deny,manual,34.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
tip-cleaning-set,TIP CLEANING SET,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
opti-cide-3-surface-wipes-7-x-10-100-tub,OPTI-CIDE 3 Surface Wipes 7” x 10” 100/tub,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,9.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
opti-cide-3-24oz-spray-bottle,OPTI-CIDE 3 24oz Spray Bottle,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,8.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
opti-cide-3-1-gallon,OPTI-CIDE 3 1 Gallon,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,23.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
alcohol-70-isopropyl-16oz-bottle,ALCOHOL 70% Isopropyl 16oz bottle,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
ink-caps-9-caps-1000-bag,INK CAPS #9 Caps 1000/bag,,Kingpin Supply,Art and stencil supplies,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
ink-caps-16-caps-1000-bag,INK CAPS #16 Caps 1000/bag,,Kingpin Supply,Art and stencil supplies,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
hextat-disposable-tray,HEXTAT DISPOSABLE TRAY,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,20,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
dip-cap,DIP CAP,,Kingpin Supply,Art and stencil supplies,,TRUE,Title,Default Title,,,,,,,,,deny,manual,24.99,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
quick-caps,QUICK CAPS,,Kingpin Supply,Art and stencil supplies,,TRUE,Title,Default Title,,,,,,,,,deny,manual,30,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
hive-caps,HIVE CAPS,,Kingpin Supply,Art and stencil supplies,,TRUE,Title,Default Title,,,,,,,,,deny,manual,8,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-green-freehand-8-1-2-x-11,SPIRIT GREEN FREEHAND 8 1/2” x 11”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,36.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-green-sheet-carbon,SPIRIT GREEN SHEET CARBON,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,44,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-vegan-thermal,SPIRIT VEGAN THERMAL,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,35,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-green-thermal-8-1-2-x-11,SPIRIT GREEN THERMAL 8 1/2” x 11”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,37.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-green-thermal-8-1-2-x-14,SPIRIT GREEN THERMAL 8 1/2” x 14”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,41.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-classic-roll,SPIRIT CLASSIC ROLL,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,34.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-classic-transfer-cream-4oz,SPIRIT CLASSIC TRANSFER CREAM 4oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-classic-transfer-cream,SPIRIT CLASSIC TRANSFER CREAM,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,20,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-vegan-transfer-cream-4oz,SPIRIT VEGAN TRANSFER CREAM 4oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-vegan-transfer-cream-8oz,SPIRIT VEGAN TRANSFER CREAM 8oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,22,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-green-transfer-cream-4oz,SPIRIT GREEN TRANSFER CREAM 4oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spirit-green-transfer-cream-8oz,SPIRIT GREEN TRANSFER CREAM 8oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,20,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
prep-stuff,PREP STUFF,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,20,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
stencilstuff-4oz,STENCILSTUFF 4oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
stencilstuff-8oz,STENCILSTUFF 8oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,20,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
spray-stuff,SPRAY STUFF,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
anchored-stencil,ANCHORED STENCIL,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,20,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
3m-blue-acetate-thermal-carrier-8-5-8-x-14-1-2,3M BLUE ACETATE THERMAL CARRIER 8 5/8” x 14 1/2”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
3m-blue-acetate-thermal-carrier-8-5-8-x-28,3M BLUE ACETATE THERMAL CARRIER 8 5/8” x 28”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,18,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
german-thermal-image-carrier-8-5-8-x-28,GERMAN THERMAL IMAGE CARRIER 8 5/8” x 28”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
german-thermal-image-carrier-8-5-8-x-14-1-3,GERMAN THERMAL IMAGE CARRIER 8 5/8” x 14 1/3,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,18,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
electrum-premium-stencil-primer-2-oz,ELECTRUM PREMIUM STENCIL PRIMER 2 oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,7,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
electrum-premium-stencil-primer-8-oz,ELECTRUM PREMIUM STENCIL PRIMER 8 oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,20,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
electrum-premium-skin-prep-and-remover-8-oz,ELECTRUM PREMIUM SKIN PREP AND REMOVER 8 oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,20,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
electrum-premium-skin-prep-and-remover-32-oz,ELECTRUM PREMIUM SKIN PREP AND REMOVER 32 oz,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,72,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-night-angel-black-nitrile-gloves-xs-s-m-l-xl,Adenna Night Angel Black Nitrile Gloves ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,8.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-shadow-nitrile-gloves-xs-s-m-l-xl,Adenna Shadow Nitrile Gloves ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,8.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-precision-nitrile-gloves-xs-s-m-l-xl,Adenna Precision Nitrile Gloves  ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,8.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-npf-nitrile-gloves-xs-s-m-l-xl,Adenna NPF Nitrile Gloves ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,8.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
halyard-safeskin-nitrile-gloves-xs-s-m-l-xl,Halyard Safeskin Nitrile Gloves ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,10.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
halyard-sterile-nitrile-gloves-s-m-l,Halyard Sterile Nitrile Gloves ( S-M-L ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,40,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-miracle-3-5mil-nitrile-gloves-xs-s-m-l-xl,Adenna Miracle 3.5mil Nitrile Gloves ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,13,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
mchloroprene-exam-gloveicro-ex-neopro-xs-s-m-l-xl,MChloroprene Exam Gloveicro ex NeoPro ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,#N/A,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-phantom-black-latex-gloves-xs-s-m-l-xl,Adenna Phantom Black Latex Gloves ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,Black,TRUE,Title,Default Title,,,,,,,,,deny,manual,8.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-gold-latex-gloves-xs-s-m-l-xl,Adenna Gold Latex Gloves ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,Gold,TRUE,Title,Default Title,,,,,,,,,deny,manual,8,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-bronze-latex-gloves-xs-s-m-l-xl,Adenna Bronze Latex Gloves ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,Bronze,TRUE,Title,Default Title,,,,,,,,,deny,manual,7.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
black-dragon-latex-gloves-xs-s-m-l-xl,Black Dragon Latex Gloves ( XS-S-M-L-XL ),,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,9.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
tongue-depressors-sterile,TONGUE DEPRESSORS Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
tongue-depressors-non-sterile,TONGUE DEPRESSORS Non-Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,5.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cotton-tipped-applicator-sterile-6,COTTON-TIPPED APPLICATOR Sterile - 6”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cotton-tipped-applicator-non-sterile-3,COTTON-TIPPED APPLICATOR Non-Sterile - 3”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cotton-tipped-applicator-non-sterile-6,COTTON-TIPPED APPLICATOR Non-Sterile - 6”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,5.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
double-end-pointed-cotton-tipped-applicator,DOUBLE END POINTED COTTON-TIPPED APPLICATOR,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
mini-skin-markers-sterile,MINI SKIN MARKERS Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,1.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
